Продукт,Калорийность,Углеводы,Белки,Жиры
"Говядина отборная, стейк из плечевой мякоти, постное мясо, жаренная",161 кКал,0 г,"25,74 г","5,69 г"
"Говядина отборная, стейк-портерхаус,  мясо с жиром убранным до уровня 0"", жареная",283 кКал,0 г,"23,61 г","20,15 г"
"Говядина отборная, стейк-портерхаус, постное мясо, жареная",224 кКал,0 г,"25,51 г","12,8 г"
"Говядина отборная, цельное бедро, мясо с жиром убранным до уровня1/8"", жареная",235 кКал,0 г,"27,54 г","12,98 г"
"Говядина отборная, цельное бедро, мясо с жиром убранным до уровня1/8"", сырая",195 кКал,0 г,"20,56 г","11,92 г"
"Говядина отборная, щуп, мясо с жиром убранным до уровня 0"", обжаренная",171 кКал,0 г,"29,79 г","4,83 г"
"Говядина отборная, щуп, мясо с жиром убранным до уровня 1/8"", обжаренная",212 кКал,0 г,"28,48 г","10,05 г"
"Говядина отборная, щуп, мясо с жиром убранным до уровня 1/8"", сырая",173 кКал,0 г,"21,68 г","8,91 г"
"Говядина отборная, щуп, постное мясо, обжаренная",166 кКал,0 г,"29,94 г","4,26 г"
"Говядина отборная,стейк-портерхаус, мясо с жиром убранным до уровня 1/8"", жареная",284 кКал,0 г,"24,85 г","19,78 г"
"Говядина отборная,стейк-портерхаус, мясо с жиром убранным до уровня 1/8"", сырая",218 кКал,0 г,"20,36 г","14,58 г"
"Говядина отборной категории, плоская часть грудинки, мясо с жиром убранным до уровня 1/8"", тушеная",280 кКал,0 г,"28,97 г","17,37 г"
"Говядина отборной категории, плоская чатсь грудинки,  мясо с жиром убранным до уровня 0"", тушеное",221 кКал,0 г,"32,21 г","9,24 г"
"Говядина отборной категории, плоская чатсь грудинки, мясо постоное, тошеное",212 кКал,0 г,"32,62 г","8,07 г"
"Говядина отборной категории, ребра, рёберный край грудинки, мясо постное,  тушеное",295 кКал,0 г,"30,76 г","18,13 г"
"Говядина отборной категории, ребра, рёберный край грудинки, мясо постное, сырое",175 кКал,"0,4 г","19,05 г","10,19 г"
"Говядина отборной категории, ребра, рёберный край грудинки, мясо с жиром,  сырое",390 кКал,"0,4 г","14,4 г","36,23 г"
"Говядина отборной категории, ребра, рёберный край грудинки, мясо с жиром, тушеное",471 кКал,0 г,"21,57 г","41,98 г"
"Говядина отборной категории, тушка, мясо вместе с жиром, сырая",291 кКал,0 г,"17,32 г","24,05 г"
"Говядина отборной категории, тушка, мясо вместе с жиром, сырая",278 кКал,0 г,"17,48 г","22,55 г"
