Продукт,Калорийность,Углеводы,Белки,Жиры
Горчица Дижонская Сладкая [Ашан],180 кКал,"7,5 г","8,5 г",13 г
Горчица Зернистая [Ашан],210 кКал,25 г,"7,5 г",9 г
Горький Шоколад 60% Цукаты и Орехи [Ашан],515 кКал,"49,2 г","6,4 г","32,5 г"
Горький Шоколад 72% [Ашан],570 кКал,36 г,9 г,"42,4 г"
Горький Шоколад Куба 70% [Ашан],537 кКал,"30,7 г","7,7 г","42,6 г"
Горький Шоколад Папуа Новая Гвинея [Ашан],506 кКал,"31,1 г","8,9 г","38,4 г"
Горький Шоколад с Цукатами и Орехами [Ашан],515 кКал,"49,2 г","6,4 г","32,5 г"
"Горький Шоколад Санто-Доминго 71,6% [Ашан]",541 кКал,"30,7 г","7,6 г","43,1 г"
Горький Шоколад Эквадор 72% Какао [Ашан],506 кКал,"30,7 г","8,9 г","38,6 г"
Гранат [Ашан],52 кКал,"13,9 г","0,9 г",0 г
Гратен с Курицей [Ашан],180 кКал,"1,7 г","12,4 г","8,4 г"
Гратэн Картофельный [Ашан],120 кКал,13 г,"5,6 г","5,1 г"
Гренадиновый Сироп [Ашан],308 кКал,77 г,0 г,0 г
Грецкие Орехи [Ашан],660 кКал,11 г,16 г,61 г
Грецкий Орех [Ашан],686 кКал,8 г,15 г,66 г
Грецкий Орех Очищенный [Ашан],648 кКал,"61,3 г","16,8 г","10,2 г"
Греческая Улитка Мак Ваниль [Ашан],334 кКал,"58,2 г","7,6 г","7,9 г"
Греческий Салат [Ашан],304 кКал,"7,6 г","13,3 г","24,3 г"
Гречка [Ашан],340 кКал,64 г,13 г,"3,5 г"
Гречка в Пакетиках [Ашан],215 кКал,40 г,"8,1 г","2,2 г"
Гречка Грибы [Ашан],145 кКал,"20,8 г","5,4 г","4,5 г"
Гречка на Пару [Ашан],157 кКал,"29,5 г","6,2 г","1,6 г"
Гречка Отварная [Ашан],86 кКал,"15,9 г","3,5 г","0,9 г"
Гречка с Грибами [Ашан],188 кКал,"20,5 г","5,4 г","9,3 г"
Гречневая Каша с Курицей [Ашан],139 кКал,"19,8 г","1,5 г","5,8 г"
Гречневая Крупа [Ашан],350 кКал,68 г,13 г,3 г
Гречневая Крупа [Ашан],215 кКал,40 г,"8,1 г","2,2 г"
"Грибы ""Шитаки"" [Ашан]",116 кКал,"1,1 г","3,7 г","10,9 г"
Грибы в Сметанном Соусе [Ашан],134 кКал,"28,8 г","31,6 г","20,8 г"
Грибы Шиитаке [Ашан],34 кКал,"6,8 г","2,2 г","0,5 г"
Грудинка Говяжья Бескостная «Фермерская» [Ашан],250 кКал,0 г,12 г,22 г
Грудинка на Хрящиках [Ашан],530 кКал,0 г,8 г,55 г
Грудинка Свиная Б/К [Ашан],543 кКал,0 г,8 г,55 г
Грудинка Свиная Бескостная [Ашан],530 кКал,0 г,8 г,55 г
Грудка Куриная Отварная [Ашан],183 кКал,"0,3 г","34,2 г","4,9 г"
Грудки Куриные Гриль [Ашан],140 кКал,0 г,"17,8 г","7,6 г"
Груша Анжу [Ашан],59 кКал,"15,1 г","0,4 г","0,4 г"
Груша Вильямс [Ашан],42 кКал,"10,7 г","0,4 г",0 г
Груша Вяленая [Ашан],250 кКал,63 г,"2,5 г","0,5 г"
Груши Пакхам [Ашан],42 кКал,"10,9 г","0,7 г","0,2 г"
Гуляш из Говядины [Ашан],335 кКал,"67,7 г","13,7 г",1 г
Гуляш из Говядины Фермерский [Ашан],220 кКал,0 г,14 г,18 г
"Гуляш из Свинины ""Фермерский"" [Ашан]",230 кКал,0 г,12 г,20 г
Гуляш из Телятины [Ашан],100 кКал,0 г,"19,5 г","2,5 г"
Декор из Шоколада [Ашан],513 кКал,"55,5 г",7 г,"27,6 г"
Дениш с Мясной Начинкой [Ашан],340 кКал,37 г,9 г,20 г
Десерт Ванильный [Ашан],179 кКал,"18,7 г","4,5 г","9,6 г"
Десерт из Яблок с Бананами [Ашан],44 кКал,11 г,0 г,0 г
Десерт Кокосовый [Ашан],186 кКал,"21,9 г","3,9 г","9,2 г"
Десерт со Вкусом Ванили [Ашан],102 кКал,"21,1 г","2,5 г","0,9 г"
Десерт Фруктовый Яблоко-Клубника [Ашан],69 кКал,14 г,"0,5 г","0,5 г"
Десерт Шоколадный [Ашан],173 кКал,"16,5 г","4,7 г","9,8 г"
Десерт Яблочно-Банановый [Ашан],100 кКал,25 г,"0,5 г",0 г
Десерт Яблочный [Ашан],80 кКал,19 г,"0,5 г",0 г
Джем Апельсиновый [Ашан],247 кКал,"59,6 г","0,5 г","0,5 г"
Джем Грушевый [Ашан],240 кКал,60 г,0 г,0 г
Джем Клубничный [Ашан],240 кКал,60 г,0 г,0 г
Джем Малина [Ашан],240 кКал,60 г,0 г,0 г
Джем Черная Смородина [Ашан],210 кКал,53 г,"0,5 г",0 г
Дижонская Горчица [Ашан],152 кКал,"3,6 г","7,5 г","11,5 г"
Дижонская Горчица с Уксусом [Ашан],149 кКал,"3,2 г","7,2 г","11,5 г"
Дикий Рис [Ашан],335 кКал,"67,7 г","13,7 г",1 г
Дикий Рис Цицания [Ашан],350 кКал,72 г,13 г,1 г
Донат с Шоколадной Глазурью [Ашан],441 кКал,41 г,"6,7 г",28 г
Донат с Шоколадной Начинкой [Ашан],463 кКал,43 г,"5,9 г",29 г
Донат с Ягодной Начинкой [Ашан],420 кКал,48 г,4 г,25 г
Донат Тутти Фрутти [Ашан],311 кКал,47 г,7 г,12 г
Дорадо [Ашан],96 кКал,0 г,"19,7 г","1,9 г"
