Продукт,Калорийность,Углеводы,Белки,Жиры
"Картофель-пюре, приготовленный из гранул не содержащих молоко, в конце приготовления  добавлены молоко и маргарин",108 кКал,"12,2 г","2,05 г","4,93 г"
"Картофель-пюре, приготовленный из хлопьев не содержащих молоко, в конце приготовления  добавлены молоко и маргарин",113 кКал,"12,72 г","1,9 г","5,6 г"
"Картофель-фри всех типов, без добавления соли в процессе жарки, замороженный, до готовки (в сыром виде)",147 кКал,"22,91 г","2,24 г","4,66 г"
"Картофель-фри всех типов, без добавления соли в процессе жарки, замороженный, после приготовление в духовке",168 кКал,"26,11 г","2,66 г","5,22 г"
"Картофель-фри всех типов, с добавлением соли, замороженный, домашнего приготовления, после приготовления в духовке",158 кКал,"23,55 г","2,75 г","5,48 г"
"Картофель-фри всех типов, с добавлением соли, замороженный, неприготовленный",147 кКал,"22,91 г","2,24 г","4,66 г"
"Картофель-фри со стейком, с добавлением соли в процессе жарки, замороженный, до готовки (в сыром виде)",130 кКал,"21,61 г","2,19 г","3,39 г"
"Картофель-фри со стейком, с добавлением соли в процессе жарки, замороженный, после приготовления в духовке",148 кКал,"24,38 г","2,57 г","3,76 г"
"Картофель-фри, прессованный, замороженный, неприготовленный",260 кКал,"27,25 г","2,83 г","14,95 г"
"Картофель-фри, прессованный, замороженный, приготовленный без соли, после приготовления в духовке",333 кКал,"36,48 г","3,55 г","18,71 г"
"Картофель-фри, с добавлением соли в процессе жарки, замороженный, до готовки (в сыром виде)",163 кКал,"23,29 г","2,16 г","6,24 г"
"Картофель-фри, с добавлением соли в процессе жарки, замороженный, после приготовления в духовке",194 кКал,"28,86 г","2,9 г","6,76 г"
"Картофель-фри, фигурной или прямой порезки, с добавлением соли в процессе жарки, замороженный, до готовки (в сыром виде)",146 кКал,"21,96 г","2,34 г","4,99 г"
"Картофель-фри, фигурной или прямой порезки, с добавлением соли в процессе жарки, замороженный, после приготовления в духовке",161 кКал,"25,2 г","2,51 г","5,13 г"
"Картофель, замороженный целиком, вареный, без соли",65 кКал,"13,12 г","1,98 г","0,13 г"
"Картофель, замороженный целиком, вареный, без соли",63 кКал,"12,53 г","1,98 г","0,13 г"
"Картофель, запеченный в сметанном соусе по 1-244",114 кКал,"13,8 г","2,5 г","5,3 г"
"Картофель, запеченный с яйцом по 1-244",228 кКал,"19,5 г","4,7 г","14,5 г"
"Картофель, консервированный",44 кКал,"8,49 г","1,2 г","0,11 г"
"Картофель, консервированный, без добавления соли, сухой продукт без маринада",60 кКал,"11,2 г","1,4 г","0,2 г"
"Картофель, консервированный, сухой продукт без маринада",60 кКал,"11,31 г","1,41 г","0,21 г"
"Картофель, приготовленный в микроволновой печи  в кожуре, с солью, целиком",105 кКал,"21,94 г","2,44 г","0,1 г"
"Картофель, приготовленный в микроволновой печи в кожуре, без соли, целиком",105 кКал,"21,94 г","2,44 г","0,1 г"
"Картофель, приготовленный в микроволновой печи в кожуре, сердцевина, без соли",100 кКал,"21,68 г","2,1 г","0,1 г"
"Картофель, приготовленный в микроволновой печи в кожуре, сердцевина, с солью",100 кКал,"21,68 г","2,1 г","0,1 г"
"Картофель, приготовленный в микроволновой печи, только кожура, без  соли",132 кКал,"24,13 г","4,39 г","0,1 г"
"Картофель, приготовленный в микроволновой печи, только кожура, с солью",132 кКал,"24,13 г","4,39 г","0,1 г"
"Картофель, тушенный с грибами по 1-226",134 кКал,"13,4 г","2,5 г","7,7 г"
"Картофельная кожура, запеченая с солью",198 кКал,"38,16 г","4,29 г","0,1 г"
"Картофельная кожура, сырая",58 кКал,"9,94 г","2,57 г","0,1 г"
Картофельное пюре по 1-208,75 кКал,"14,7 г","2,1 г","0,8 г"
Картофельное пюре с молоком,83 кКал,"16,07 г","1,91 г","0,57 г"
Картофельное пюре с молоком и маслом,113 кКал,"15,31 г","1,86 г","4,22 г"
"Картофельное пюре сухое, растворимое, быстрого приготовления (хлопья, крупка)",350 кКал,"79,1 г","5,6 г","0,2 г"
"Картофельное пюре сухое, хлопья без молока",354 кКал,"74,57 г","8,34 г","0,41 г"
Картофельные зразы по 1-232,152 кКал,"20,3 г","2,8 г","6,4 г"
Картофельные котлеты по 1-232,142 кКал,22 г,"2,8 г","4,7 г"
Картофельные котлеты с творогом по 1-232,179 кКал,"15,8 г","8,1 г","9,7 г"
"Картофельные котлеты, запеченные по 1-248",139 кКал,"16,2 г","2,8 г","6,9 г"
Картофельные оладьи,268 кКал,"24,51 г","6,08 г","14,76 г"
"Картофельные шарики, замороженные, неприготовленные",178 кКал,"22,5 г","1,93 г","8,71 г"
"Картофельные шарики, замороженные, приготовленые в духовке",192 кКал,"25,29 г","2,13 г","9,05 г"
Картофельный салат домашнего приготовления,143 кКал,"9,87 г","2,68 г","8,2 г"
Каша из тыквы по 1-218,87 кКал,"15,7 г","2,1 г","1,7 г"
"Кимчи (кимчхи, кимча), квашеная острая пекинская капуста",15 кКал,"0,8 г","1,1 г","0,5 г"
"Кипрей, сырой",150 кКал,"31,68 г","4,6 г","1,8 г"
"Китайская брокколи (кай-лан, гайлан)",26 кКал,"2,07 г","1,2 г","0,76 г"
"Китайская горькая тыква, листья",30 кКал,"3,29 г","5,3 г","0,69 г"
"Китайская горькая тыква, листья, вареные с солью",32 кКал,"4,26 г","3,6 г","0,2 г"
"Китайская горькая тыква, листья, вареные, без соли",34 кКал,"4,78 г","3,6 г","0,2 г"
"Китайская горькая тыква, плоды",17 кКал,"0,9 г",1 г,"0,17 г"
"Китайская горькая тыква, плоды вареные без соли",19 кКал,"2,32 г","0,84 г","0,18 г"
"Китайская горькая тыква, плоды вареные с солью",19 кКал,"2,32 г","0,84 г","0,18 г"
"Козлобородник (овсяный корень, овощная устрица), вареный, без соли",68 кКал,"12,26 г","2,73 г","0,17 г"
"Козлобородник (овсяный корень, овощная устрица), вареный, с солью",68 кКал,"12,26 г","2,73 г","0,17 г"
"Козлобородник (овсяный корень, овощная устрица), сырой",82 кКал,"15,3 г","3,3 г","0,2 г"
"Колоказия (таро) таитянская, приготовленная без соли",44 кКал,"6,85 г","4,16 г","0,68 г"
"Колоказия (таро) таитянская, приготовленная с солью",44 кКал,"6,85 г","4,16 г","0,68 г"
"Колоказия (таро) таитянская, сырая",44 кКал,"6,91 г","2,79 г","0,97 г"
"Колоказия (таро), листья, приготовленные на пару, без соли",24 кКал,"2,02 г","2,72 г","0,41 г"
"Колоказия (таро), листья, приготовленные на пару, с солью",24 кКал,"1,89 г","2,72 г","0,41 г"
"Колоказия (таро), листья, сырые",42 кКал,3 г,"4,98 г","0,74 г"
"Колоказия (таро), побеги, приготовленные без соли",14 кКал,"3,2 г","0,73 г","0,08 г"
"Колоказия (таро), побеги, приготовленные с солью",14 кКал,"3,19 г","0,73 г","0,08 г"
"Колоказия (таро), побеги, сырые",11 кКал,"2,32 г","0,92 г","0,09 г"
"Колоказия (таро), приготовленная без соли",142 кКал,"29,5 г","0,52 г","0,11 г"
"Колоказия (таро), приготовленная с солью",142 кКал,"29,5 г","0,52 г","0,11 г"
"Колоказия (таро), сырая",112 кКал,"22,36 г","1,5 г","0,2 г"
Кольраби,44 кКал,"7,9 г","2,8 г","0,1 г"
Кольраби,27 кКал,"2,6 г","1,7 г","0,1 г"
"Кольраби, вареная, без соли",29 кКал,"5,59 г","1,8 г","0,11 г"
"Кольраби, вареная, с солью",29 кКал,"5,59 г","1,8 г","0,11 г"
"Корень лопуха, вареный, без соли",88 кКал,"19,35 г","2,09 г","0,14 г"
"Корень лопуха, вареный, с солью",88 кКал,"19,35 г","2,09 г","0,14 г"
"Корень лопуха, сырой",72 кКал,"14,04 г","1,53 г","0,15 г"
"Корень лотоса, вареный, без соли",66 кКал,"12,92 г","1,58 г","0,07 г"
"Корень лотоса, вареный, с солью",66 кКал,"12,92 г","1,58 г","0,07 г"
"Корень лотоса, сырой",74 кКал,"12,33 г","2,6 г","0,1 г"
"Корень цикория, сырой",72 кКал,"16,01 г","1,4 г","0,2 г"
Кресс-салат,32 кКал,"4,4 г","2,6 г","0,7 г"
"Кресс-салат, вареный, без соли",23 кКал,"3,1 г","1,9 г","0,6 г"
"Кресс-салат, вареный, с солью",23 кКал,"3,1 г","1,9 г","0,6 г"
"Кукуруза сахарная белая, вареная, без соли",97 кКал,"19,01 г","3,34 г","1,41 г"
"Кукуруза сахарная белая, вареная, с солью",97 кКал,"19,01 г","3,34 г","1,41 г"
"Кукуруза сахарная белая, замороженная, в початках",98 кКал,"20,7 г","3,28 г","0,78 г"
