Продукт,Калорийность,Углеводы,Белки,Жиры
"Фасоль белая, зрелые семена",333 кКал,"45,07 г","23,36 г","0,85 г"
"Фасоль белая, зрелые семена, вареная, без соли",139 кКал,"18,79 г","9,73 г","0,35 г"
"Фасоль белая, зрелые семена, вареная, с солью",139 кКал,"18,79 г","9,73 г","0,35 г"
"Фасоль белая, зрелые семена, консервированная",114 кКал,"16,4 г","7,26 г","0,29 г"
"Фасоль белая, мелкая, зрелые семена",336 кКал,"37,35 г","21,11 г","1,18 г"
"Фасоль белая, мелкая, зрелые семена, вареная, без соли",142 кКал,"15,41 г","8,97 г","0,64 г"
"Фасоль белая, мелкая, зрелые семена, вареная, с солью",142 кКал,"15,41 г","8,97 г","0,64 г"
"Фасоль желтая, зрелые семена",345 кКал,"35,6 г",22 г,"2,6 г"
"Фасоль желтая, зрелые семена, вареная, без соли",144 кКал,"14,88 г","9,16 г","1,08 г"
"Фасоль желтая, зрелые семена, вареная, с солью",144 кКал,"14,88 г","9,16 г","1,08 г"
"Фасоль кидни красная, зрелая",337 кКал,"46,09 г","22,53 г","1,06 г"
"Фасоль кидни красная, зрелая, вареная без соли",127 кКал,"15,4 г","8,67 г","0,5 г"
"Фасоль кидни красная, зрелая, вареная с солью",127 кКал,"15,4 г","8,67 г","0,5 г"
"Фасоль кидни красная, зрелая, консервированная",81 кКал,"10,53 г","5,22 г","0,36 г"
"Фасоль кидни красная, зрелая, консервированная, с пониженным содержанием натрия",81 кКал,"9,53 г","5,22 г","0,36 г"
"Фасоль кидни красная, зрелая, консервированная, содержимое без жидкости",124 кКал,"15,99 г","7,98 г","1,05 г"
"Фасоль кидни красная, зрелая, консервированная, содержимое без жидкости, промытая водой",121 кКал,"14,8 г","8,12 г","0,93 г"
"Фасоль кидни красная, калифорнийская, зрелая, вареная, без доб. соли",124 кКал,"13,11 г","9,13 г","0,09 г"
"Фасоль кидни красная, калифорнийская, зрелая, вареная, с доб. соли",124 кКал,"13,11 г","9,13 г","0,09 г"
"Фасоль кидни красная, калифорнийская, зрелая, сырая",330 кКал,"34,9 г","24,37 г","0,25 г"
"Фасоль кидни красная, королевская, зрелая",329 кКал,"33,43 г","25,33 г","0,45 г"
"Фасоль кидни красная, королевская, зрелая, вареная, без доб. соли",123 кКал,"12,55 г","9,49 г","0,17 г"
"Фасоль кидни красная, королевская, зрелая, вареная, с доб. соли",123 кКал,"12,55 г","9,49 г","0,17 г"
"Фасоль кидни, все виды, зрелая",333 кКал,"35,11 г","23,58 г","0,83 г"
"Фасоль кидни, все виды, зрелая, вареная, без соли",127 кКал,"16,4 г","8,67 г","0,5 г"
"Фасоль кидни, все виды, зрелая, вареная, с солью",127 кКал,"16,4 г","8,67 г","0,5 г"
"Фасоль кидни, все виды, зрелая, консервированная",84 кКал,"10,2 г","5,22 г","0,6 г"
"Фасоль кидни, проросшая",29 кКал,"4,1 г","4,2 г","0,5 г"
"Фасоль кидни, проросшая, вареная без соли",33 кКал,"4,72 г","4,83 г","0,58 г"
"Фасоль кидни, проросшая, вареная с солью",33 кКал,"4,72 г","4,83 г","0,58 г"
"Фасоль кранберри (римская фасоль, борлотти), зрелые семена",335 кКал,"35,35 г","23,03 г","1,23 г"
"Фасоль кранберри (римская фасоль, борлотти), зрелые семена, вареная, без соли",136 кКал,"15,86 г","9,34 г","0,46 г"
"Фасоль кранберри (римская фасоль, борлотти), зрелые семена, вареная, с солью",136 кКал,"15,86 г","9,34 г","0,46 г"
