Продукт,Калорийность,Углеводы,Белки,Жиры
"Пудинг, ванильный, сухая смесь, быстрого приготовления",377 кКал,"92,9 г",0 г,"0,6 г"
"Пудинг, ванильный, сухая смесь, обычный",379 кКал,"92,9 г","0,3 г","0,4 г"
"Пудинг, ванильный, сухая смесь, обычный, с доб масла",369 кКал,"92,4 г","0,3 г","1,1 г"
"Пудинг, все вкусы, исключая шоколадный, низкокалорийный, быстрого приготовления, сухая смесь",350 кКал,"83,86 г","0,81 г","0,9 г"
"Пудинг, все вкусы, исключая шоколадный, низкокалорийный, обычный, сухая смесь",351 кКал,"85,14 г","1,6 г","0,1 г"
"Пудинг, из тапиоки, готовый к употреблению",130 кКал,"21,69 г","1,95 г","3,88 г"
"Пудинг, из тапиоки, готовый к употреблению, обезжиренный",94 кКал,"21,31 г","1,44 г","0,35 г"
"Пудинг, из тапиоки, сухая смесь",369 кКал,"94,1 г","0,1 г","0,1 г"
"Пудинг, из тапиоки, сухая смесь, без доб соли",369 кКал,"94,1 г","0,1 г","0,1 г"
"Пудинг, лимонный обычный, приготовленный с сахаром, яичным желтком и водой",109 кКал,"24,2 г","0,65 г","1,12 г"
"Пудинг, лимонный, сухая смесь, быстрого приготовления",378 кКал,"95,4 г",0 г,"0,7 г"
"Пудинг, лимонный, сухая смесь, быстрого приготовления, приготовленный на цельном молоке",115 кКал,"20,1 г","2,7 г","2,9 г"
"Пудинг, лимонный, сухая смесь, обычный",363 кКал,"91,7 г","0,1 г","0,5 г"
"Пудинг, лимонный, сухая смесь, обычный, с доб масла, калия, натрия",366 кКал,"90,2 г","0,1 г","1,5 г"
"Пудинг, рисовый, готовый к употреблению",108 кКал,"18,09 г","3,23 г","2,15 г"
"Пудинг, рисовый, приготовленный на цельном молоке",121 кКал,"20,58 г","3,25 г","2,82 г"
"Пудинг, рисовый, сухая смесь",376 кКал,"90,5 г","2,7 г","0,1 г"
"Пудинг, с кокосовым кремом, обычный, приготовленный на цельном молоке",114 кКал,"17,5 г",3 г,"3,8 г"
"Пудинг, с кокосовым кремом, приготовленный на цельном молоке",117 кКал,19 г,"2,9 г","3,5 г"
"Пудинг, с кокосовым кремом, сухая смесь, быстрого приготовления",415 кКал,"79,5 г","0,9 г",10 г
"Пудинг, с кокосовым кремом, сухая смесь, обычный",434 кКал,"80,24 г",1 г,"11,36 г"
"Пудинг, со вкусом шоколада, низкокалорийный, быстрого приготовления, сухая смесь",356 кКал,"72,1 г","5,3 г","2,4 г"
"Пудинг, со вкусом шоколада, низкокалорийный, обычный, сухая смесь",365 кКал,"64,32 г","10,08 г",3 г
"Пудинг, шоколадный, быстрого приготовления, приготовленный на цельном молоке",111 кКал,"17,8 г","3,1 г","3,1 г"
"Пудинг, шоколадный, готовый к употреблению",142 кКал,"23,01 г","2,09 г","4,6 г"
"Пудинг, шоколадный, готовый к употреблению, обезжиренный",93 кКал,"20,57 г","1,93 г","0,3 г"
"Пудинг, шоколадный, приготовленный на цельном молоке",120 кКал,"18,84 г","3,16 г","3,15 г"
"Пудинг, шоколадный, сухая смесь, быстрого приготовления",378 кКал,"84,3 г","2,3 г","1,9 г"
"Пудинг, шоколадный, сухая смесь, обычный",362 кКал,"84,8 г","2,6 г","2,1 г"
Сахар песок,399 кКал,"99,8 г",0 г,0 г
Сахар рафинад,400 кКал,"99,9 г",0 г,0 г
"Сахар, гранулированный",387 кКал,"99,98 г",0 г,0 г
"Сахар, кленовый",354 кКал,"90,9 г","0,1 г","0,2 г"
"Сахар, коричневый",380 кКал,"98,09 г","0,12 г",0 г
"Сахар, пудра",389 кКал,"99,77 г",0 г,0 г
Сахарная пудра,399 кКал,"99,8 г",0 г,0 г
"Сироп, гранатовый",268 кКал,"66,91 г",0 г,0 г
"Сироп, диетический",51 кКал,"11,29 г","0,8 г",0 г
"Сироп, кленовый",260 кКал,"67,04 г","0,04 г","0,06 г"
"Сироп, кукурузный, с высоким содерж. фруктозы",281 кКал,76 г,0 г,0 г
"Сироп, солодовый",318 кКал,"71,3 г","6,2 г",0 г
"Сироп, сорго",290 кКал,"74,9 г",0 г,0 г
"Сладости, белый шоколад",539 кКал,"59,04 г","5,87 г","32,09 г"
"Сладости, сладкий шоколад",507 кКал,"54,9 г","3,9 г","34,2 г"
Сорбит пищевой,354 кКал,"94,5 г",0 г,0 г
"Топпинг, ананасовый",253 кКал,66 г,"0,1 г","0,1 г"
"Топпинг, клубничный",254 кКал,"65,6 г","0,2 г","0,1 г"
"Топпинг, орехи в сиропе",448 кКал,"55,78 г","4,5 г",22 г
Торт бисквитный с орехово-сливочным кремом,356 кКал,"58,8 г","5,6 г","11,8 г"
Торт бисквитный с фруктовой начинкой,285 кКал,"61,3 г","3,9 г","2,6 г"
Торт бисквитный с шоколадным кремом,335 кКал,"53,6 г","4,4 г","12,4 г"
Торт миндальный,468 кКал,"44,6 г","7,8 г","28,7 г"
Торт слоеный,542 кКал,"42,2 г","8,5 г","37,7 г"
Фосфатидный концентрат соевый,843 кКал,0 г,0 г,"93,7 г"
Халва без добавок,469 кКал,"55,99 г","12,49 г","21,52 г"
Халва подсолнечная ванильная,"516,2 кКал",54 г,"11,6 г","29,7 г"
Халва тахинная,"509,6 кКал","50,6 г","12,7 г","29,9 г"
Халва тахинная шоколадная,498 кКал,"48,4 г","12,8 г","28,1 г"
Халва тахинно-арахисовая,502 кКал,47 г,"12,7 г","29,2 г"
Цукаты морковные,300 кКал,"70,5 г","2,9 г","0,2 г"
Шикозин,897 кКал,0 г,"0,2 г","99,6 г"
Шоколад в порошке,"482,5 кКал","64,8 г","5,2 г","24,3 г"
Шоколад горький,539 кКал,"48,2 г","6,2 г","35,4 г"
Шоколад молочно-ореховый,542 кКал,"51,3 г","7,5 г","33,9 г"
Шоколад молочно-ореховый с изюмом,500 кКал,"48,2 г",8 г,"30,3 г"
Шоколад молочный,554 кКал,"50,4 г","9,8 г","34,7 г"
Шоколад ореховый,534 кКал,"49,7 г","7,3 г","33,8 г"
Шоколад полугорький,549 кКал,"52,5 г","4,5 г","35,4 г"
Шоколад пористый молочный,"545,8 кКал",53 г,"6,9 г","35,5 г"
Шоколад сладкий,550 кКал,"57,6 г",3 г,34 г
Шоколад сливочный,560 кКал,"53,7 г","6,3 г","35,5 г"
"Шоколад, для выпечки, MASTERFOODS USA, M&M's Milk Chocolate Mini Baking Bits",502 кКал,"65,7 г","4,78 г","23,36 г"
"Шоколад, для выпечки, MASTERFOODS USA, M&M's Semisweet Chocolate Mini Baking Bits (полусладкий)",517 кКал,"59,26 г","4,44 г","26,15 г"
"Шоколад, для выпечки, мексиканский, квадратики",426 кКал,"73,41 г","3,64 г","15,59 г"
"Шоколад, для выпечки, неподслащенный, жидкий",472 кКал,"18,1 г","12,1 г","47,7 г"
"Шоколад, для выпечки, неподслащенный, квадратики",642 кКал,"11,82 г","14,32 г","52,31 г"
Шоколадная паста,536 кКал,"56,6 г","8,2 г","30,6 г"
"Щербет, апельсиновый",144 кКал,"29,1 г","1,1 г",2 г
"Эклер с заварным или сливочным кремом, охлажденный",334 кКал,"36,53 г","4,41 г","18,52 г"
"Эклер со сливочным кремом, приготовленный по рецепту",360 кКал,22 г,9 г,"25,9 г"
