Продукт,Калорийность,Углеводы,Белки,Жиры
"Пшеничная мука высшего сорта, 11,5% белка, отбеленная, необогащенная",363 кКал,"71,41 г","11,5 г","1,45 г"
"Пшеничная мука высшего сорта, 11,5% белка, отбеленная, обогащенная",363 кКал,"71,41 г","11,5 г","1,45 г"
"Пшеничная мука высшего сорта, 13% белка, отбеленная, необогащенная",362 кКал,"69,8 г","13,07 г","1,38 г"
"Пшеничная мука высшего сорта, 13% белка, отбеленная, обогащенная",362 кКал,"69,8 г","13,07 г","1,38 г"
"Пшеничная мука высшего сорта, 15% белка, отбеленная, необогащенная",362 кКал,"67,48 г","15,33 г","1,41 г"
"Пшеничная мука высшего сорта, 15% белка, отбеленная, обогащенная",362 кКал,"67,48 г","15,33 г","1,41 г"
"Пшеничная мука высшего сорта, 9% белка, отбеленная, необогащенная",367 кКал,"74,92 г","8,89 г","1,43 г"
"Пшеничная мука высшего сорта, 9% белка, отбеленная, обогащенная",367 кКал,"77,32 г","8,89 г","1,43 г"
"Пшеничная мука высшего сорта, кондитерская, обогащенная",362 кКал,"76,33 г","8,2 г","0,86 г"
"Пшеничная мука высшего сорта, смесь для тортильи, обогащенная",405 кКал,"67,14 г","9,66 г","10,63 г"
"Пшеничная мука высшего сорта, универсальная, необогащенная",364 кКал,"73,61 г","10,33 г","0,98 г"
"Пшеничная мука высшего сорта, универсальная, обогащенная кальцием",364 кКал,"73,61 г","10,33 г","0,98 г"
"Пшеничная мука высшего сорта, универсальная, обогащенная, неотбеленная",364 кКал,"73,61 г","10,33 г","0,98 г"
"Пшеничная мука высшего сорта, универсальная, обогащенная, отбеленная",364 кКал,"73,61 г","10,33 г","0,98 г"
"Пшеничная мука высшего сорта, универсальная, обогащенная, самоподнимающаяся",354 кКал,"71,52 г","9,89 г","0,97 г"
"Пшеничная мука высшего сорта, хлебопекарная, обогащенная",361 кКал,"70,13 г","11,98 г","1,66 г"
Пшеничная мука цельнозерновая,340 кКал,"61,27 г","13,21 г","2,5 г"
Пшеничная мука цельнозерновая из мягкой пшеницы,332 кКал,"61,38 г","9,61 г","1,95 г"
"Пшеничная мука, второго сорта",324 кКал,"63,7 г","11,7 г","1,81 г"
"Пшеничная мука, высшего сорта",334 кКал,"69,9 г","10,8 г","1,3 г"
"Пшеничная мука, высшего сорта, витаминизированная",334 кКал,"68,9 г","10,3 г","1,1 г"
"Пшеничная мука, обойная",312 кКал,"61,5 г","11,5 г","2,2 г"
"Пшеничная мука, первого сорта",329 кКал,"67,8 г","11,1 г","1,5 г"
"Пшеничная мука, первого сорта, витаминизированная",331 кКал,"67,6 г","10,6 г","1,3 г"
"Пшеничная мука, хлебопекарная, необогащенная",361 кКал,"70,13 г","11,98 г","1,66 г"
"Пшеничные зародыши, сырые",360 кКал,"38,6 г","23,15 г","9,72 г"
Пшеничные отруби,165 кКал,"16,6 г",16 г,"3,8 г"
"Пшеничные отруби, сырые",216 кКал,"21,71 г","15,55 г","4,25 г"
Пшенная каша по 1-278,109 кКал,"16,8 г","2,8 г","3,4 г"
"Пшенная крупа, пшено шлифованное",342 кКал,"66,5 г","11,5 г","3,3 г"
Пшенная мука,382 кКал,"71,62 г","10,75 г","4,25 г"
Пшено (просо) воздушное,354 кКал,"77,3 г",13 г,"3,4 г"
"Пшено, приготовленное",119 кКал,"22,37 г","3,51 г",1 г
"Пшено, сырое",378 кКал,"64,35 г","11,02 г","4,22 г"
"Ржаная мука, обдирная",298 кКал,"61,8 г","8,9 г","1,7 г"
"Ржаная мука, обдирная",349 кКал,"63,63 г","10,88 г","1,52 г"
"Ржаная мука, обойная",294 кКал,"58,5 г","10,7 г","1,9 г"
"Ржаная мука, обойная",325 кКал,"44,83 г","15,91 г","2,22 г"
"Ржаная мука, сеяная",305 кКал,"66,3 г","6,9 г","1,4 г"
"Ржаная мука, сеяная",357 кКал,"68,68 г","9,82 г","1,33 г"
Ржаные отруби,"114,2 кКал","8,7 г","12,2 г","3,4 г"
"Рис белый длиннозерный, быстроразваривающийся, обогащенный, приготовленный",124 кКал,"26,16 г","2,18 г","0,5 г"
"Рис белый длиннозерный, быстроразваривающийся, обогащенный, сухой",380 кКал,"80,42 г","7,82 г","0,94 г"
"Рис белый длиннозерный, обогащенный, приготовленный",130 кКал,"27,77 г","2,69 г","0,28 г"
"Рис белый длиннозерный, обогащенный, приготовленный с солью",130 кКал,"27,77 г","2,69 г","0,28 г"
"Рис белый длиннозерный, обогащенный, сухой",365 кКал,"78,65 г","7,13 г","0,66 г"
"Рис белый длиннозерный, приготовленный без соли",130 кКал,"27,77 г","2,69 г","0,28 г"
"Рис белый длиннозерный, приготовленный с солью",130 кКал,"27,77 г","2,69 г","0,28 г"
"Рис белый длиннозерный, пропаренный, обогащенный, приготовленный",123 кКал,"25,15 г","2,91 г","0,37 г"
"Рис белый длиннозерный, пропаренный, обогащенный, сухой",374 кКал,"79,09 г","7,51 г","1,03 г"
"Рис белый длиннозерный, пропаренный, приготовленный",123 кКал,"25,15 г","2,91 г","0,37 г"
"Рис белый длиннозерный, сухой",365 кКал,"78,65 г","7,13 г","0,66 г"
"Рис белый длиннозерный, сухой",374 кКал,"79,09 г","7,51 г","1,03 г"
"Рис белый клейкий (азиатский), приготовленный",97 кКал,"20,09 г","2,02 г","0,19 г"
"Рис белый клейкий (азиатский), сухой",370 кКал,"78,88 г","6,81 г","0,55 г"
"Рис белый короткозерный, обогащенный, приготовленный",130 кКал,"28,73 г","2,36 г","0,19 г"
"Рис белый короткозерный, обогащенный, сухой",358 кКал,"76,35 г","6,5 г","0,52 г"
"Рис белый короткозерный, приготовленный",130 кКал,"28,73 г","2,36 г","0,19 г"
"Рис белый короткозерный, сухой",358 кКал,"79,15 г","6,5 г","0,52 г"
Рис белый приготовленный на пару (Китайская кухня),151 кКал,"32,98 г","3,2 г","0,27 г"
