Продукт,Калорийность,Углеводы,Белки,Жиры
Печенье Овсяное [Яшкино],450 кКал,67 г,"5,5 г",18 г
Печенье Овсяночка [Яшкино],466 кКал,"71,3 г",6 г,"18,3 г"
Печенье Полечки [Яшкино],532 кКал,"59,3 г","40,2 г","55,9 г"
Печенье Рок Фор [Яшкино],470 кКал,66 г,"7,5 г",19 г
Печенье с Клубничным Кремом [Яшкино],490 кКал,64 г,"5,5 г",23 г
Печенье с Мармеладом [Яшкино],360 кКал,74 г,"3,5 г",7 г
Печенье с Шоколадными Каплями [Яшкино],455 кКал,62 г,5 г,20 г
"Печенье Сахарное ""Райский День с Сахаром"" [Яшкино]",460 кКал,67 г,7 г,18 г
Печенье Сахарное Дивная Даренка [Яшкино],450 кКал,64 г,"6,6 г",19 г
Печенье Сахарное К Кофе со Вкусом Пломбира [Яшкино],470 кКал,66 г,7 г,20 г
Печенье Сахарное Кругляш [Яшкино],440 кКал,71 г,5 г,15 г
Печенье Сахарное Рок Фор [Яшкино],460 кКал,65 г,"7,5 г",19 г
Печенье Сахарное Сливочное [Яшкино],450 кКал,66 г,"7,5 г",17 г
Печенье Сгущенка [Яшкино],460 кКал,"64,8 г","7,2 г","18,5 г"
Печенье Сдобное «Клубника» [Яшкино],295 кКал,61 г,"3,5 г",4 г
Печенье Сдобное [Яшкино],480 кКал,58 г,7 г,24 г
Печенье Сдобное Американское [Яшкино],480 кКал,60 г,"5,5 г",24 г
Печенье Сдобное Апельсин [Яшкино],360 кКал,72 г,3 г,7 г
Печенье Сдобное Ванильное Кольцо [Яшкино],520 кКал,58 г,"6,5 г",29 г
Печенье Сдобное Вишня [Яшкино],360 кКал,72 г,3 г,7 г
Печенье Сдобное Дженс [Яшкино],480 кКал,59 г,7 г,24 г
Печенье Сдобное Клубника [Яшкино],360 кКал,72 г,"3,5 г","6,5 г"
Печенье Сдобное Курабье с Вишневой Начинкой [Яшкино],490 кКал,61 г,"5,5 г",25 г
