Продукт,Калорийность,Углеводы,Белки,Жиры
Лонгер Острый [Ростик'c - KFC],249 кКал,"35,3 г","12,3 г","6,4 г"
Лонгер Чиз [Ростик'c - KFC],268 кКал,"26,5 г","12,9 г","12,3 г"
Маффин Тоффи [Ростик'c - KFC],475 кКал,58 г,"5,5 г","24,4 г"
Микс Бокс [Ростик'c - KFC],409 кКал,"21,2 г","29,1 г","23,1 г"
"Милк Шейк Шоколадно-Ореховый 0,25 [Ростик'c - KFC]",215 кКал,39 г,"4,8 г","4,5 г"
Милкшейк  Лесная Клубника [Ростик'c - KFC],143 кКал,"27,2 г","3,4 г","3,5 г"
Милкшейк Банан [Ростик'c - KFC],242 кКал,"42,5 г","6,2 г","5,1 г"
Милкшейк Ваниль [Ростик'c - KFC],76 кКал,"13,2 г","1,9 г","1,8 г"
Милкшейк Чёрная Смородина [Ростик'c - KFC],92 кКал,16 г,"2,2 г","2,1 г"
Милкшейк Шоколадно-Ореховый [Ростик'c - KFC],86 кКал,"15,6 г","1,9 г","1,8 г"
"Милкшейк Шоколадно-Ореховый 0,25 [Ростик'c - KFC]",215 кКал,39 г,"4,8 г","4,5 г"
МИНИ ТВИСТЕР оригинальный (порция 104 гр) [Ростик'c - KFC],"267,3 кКал","28,7 г","10,5 г","12,3 г"
Мини Твистер Оригинальный [Ростик'c - KFC],267 кКал,"28,7 г","10,5 г","12,3 г"
МИНИ ТВИСТЕР острый (порция 104 гр) [Ростик'c - KFC],"254,8 кКал","29,2 г","9,9 г","10,9 г"
Мой Баскет с Байтс [Ростик'c - KFC],223 кКал,"5,3 г","17,8 г","14,5 г"
Мой Баскет с Крыльями [Ростик'c - KFC],223 кКал,"5,3 г","17,8 г","14,5 г"
Молочный Коктейль [Ростик'c - KFC],154 кКал,"27,2 г","3,4 г","3,5 г"
Молочный Коктейль Пина Колада [Ростик'c - KFC],90 кКал,"16,9 г","1,9 г","1,6 г"
"Мороженое ""Летняя Фантазия"" [Ростик'c - KFC]",168 кКал,"26,5 г","4,7 г","4,8 г"
